adventDay,RumseyListNo,Album,Qty,Type,link
1,12514.021,1883,7,Diverging,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309182~90079076:Statistical-Diagram--Circulation-Sp?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=w4s:/who%2FCheysson%25252C%2B%2525C3%252589mile;q:statistique%20graphique;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=122&trs=587
2,12516.024,1886,8,Grouped,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309250~90079139:Statistical-Diagram--Mouvement-de-l?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=w4s:/who%2FCheysson%25252C%2B%2525C3%252589mile;q:statistique%20graphique;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=190&trs=587
3,12512.012,1881,3,Sequential,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309110~90078973:Carte-Formative-du-Tonnage-des-Voie?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=w4s:/who%2FCheysson%25252C%2B%2525C3%252589mile;q:statistique%20graphique;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=50&trs=587
4,12516.017,1886,4,Grouped,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309243~90079146:Resultats-D-Exploitation-des-Chemin?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=w4s:/who%2FCheysson%25252C%2B%2525C3%252589mile;q:statistique%20graphique;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=183&trs=587
5,12516.028,1886,7,Category,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309254~90079135:Statistical-Diagram--Resultats-D-Ex?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=w4s:/who%2FCheysson%25252C%2B%2525C3%252589mile;q:statistique%20graphique;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=194&trs=587
6,12511.007,1880,7,Grouped,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309764~90078941:Carte-Figurative-du-Developpment-de?sort=date%2Clist_no
7,12516.011,1886,8,Grouped,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309237~90079152:Carte-Figurative-des-Expeditions-de?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=w4s:/who%2FCheysson%25252C%2B%2525C3%252589mile;q:statistique%20graphique;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=177&trs=587
8,12518.022,1887,6,Grouped,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309319~90079218:Statistical-Diagram--I--Mouvement-M?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=w4s:/who%2FCheysson%25252C%2B%2525C3%252589mile;q:statistique%20graphique;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=259&trs=587
9,12519.027,1888,5,Sequential,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309377~90079243:Acceleration-des-Traversees-Maritim?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=w4s:/who%2FCheysson%25252C%2B%2525C3%252589mile;q:statistique%20graphique;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=296&trs=587
10,12524.016,1895,4,Sequential,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309654~90079537:Nombre-Quotidien-de-Trains-sur-le-R?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=q:12524.016;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=0&trs=1
11,12521.014,1891,3,Grouped,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309555~90079439:Longueurs-des-Chemins-de-Fer-dans-l?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=q:12521.014;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=0&trs=1
12,12521.025,1891,7,Sequential,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309566~90079428:Routes-Nationale-Prix-Moyen-de-la-J?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=q:12521.025;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=0&trs=1
13,12526.006,1906,6,Category,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309711~90079641:Developpement-des-Voies-de-Communic?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=q:12526.006;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=0&trs=1
14,12513.018,1882,4,Grouped,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309147~90079036:Mouvement-Martime-des-Principaux-Po?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=q:12513.018;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=0&trs=1
15,12516.018,1886,4,Grouped,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309244~90079145:D-Epenses-de-Premier-Etablissement-?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=q:12516.018;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=0&trs=1
16,12514.031,1883,4,Diverging,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309192~90079066:Carte-Figurative-des-Chomages-des-V?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=q:12514.031;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=0&trs=1
17,12526.050,1906,4,Category,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309755~90079597:Puissance-Coloniale-des-Divers-Pays?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=q:12526.050;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=0&trs=1
18,13188.028,1900,6,Sequential,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~313765~90082657:Routes-Nationales---Entretien-des-c?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=q:13188.028;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=0&trs=1
19,12516.026,1886,4,Sequential,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309252~90079137:Marine-Marchande-et-Mouvement-Marit?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=q:12516.026;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=0&trs=1
20,12521.019,1891,6,Sequential,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309560~90079434:Tonnage-des-Voies-Navigables-en-188?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=q:12521.019;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=0&trs=1
21,12512.014,1881,4,Grouped,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309112~90078971:Comparaison-des-Principaux-Courants?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=q:12512.014;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=0&trs=1
22,12512.013,1883,6,Category,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309191~90079067:Carte-Figurative-du-Mouvement-des-C?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=q:cheysson%201883;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=29&trs=54
23,12512.030,1881,8,Grouped,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309128~90078955:Carte-Figurative-des-Travaux-D-Ache?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=q:12512.030;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=0&trs=1
24,12511.021,1880,7,Category,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309778~90078927:Carte-Figurative-des-Donnees-Relati?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=q:12511.021;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=0&trs=1
25,12512.022,1881,4,Category,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309120~90078963:Carte-Figurative-de-la-Navigation-M?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=q:12512.022;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=0&trs=1